JR Smith,normal,14720000.0,normal,15680000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Brandon Knight,normal,14631250.0,normal,15643750.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
James Johnson,normal,14420700.0,normal,15107400.0,team_option,0.15794,normal,0.0,normal,0.0,normal,0.0
Robin Lopez,normal,14357750.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Marvin Williams,normal,14087500.0,normal,15006250.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Taj Gibson,normal,14000000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Kenneth Faried,normal,13764045.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Thaddeus Young,normal,13764045.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Tyson Chandler,normal,13585000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Marcin Gortat,normal,13565218.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Cody Zeller,normal,13528090.0,normal,14471910.0,normal,15415730.0,normal,0.0,normal,0.0,normal,0.0
Eric Gordon,normal,13500375.0,normal,14057730.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Michael Kidd-Gilchrist,normal,13000000.0,player_option,13000000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Khris Middleton,normal,13000000.0,player_option,13000000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Mason Plumlee,normal,12917808.0,normal,14041096.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Wilson Chandler,normal,12800562.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Solomon Hill,normal,12763467.0,normal,13290395.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Nikola Vucevic,normal,12750000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Dion Waiters,normal,12705000.0,normal,13310000.0,normal,13885000.0,normal,0.0,normal,0.0,normal,0.0
Austin Rivers,normal,12650000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Joe Ingles,normal,12545455.0,normal,11454546.0,normal,10363637.0,normal,0.0,normal,0.0,normal,0.0
Jeremy Lin,normal,12516746.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Jordan Clarkson,normal,12500000.0,normal,13437500.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Nikola Mirotic,normal,12500000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Miles Plumlee,normal,12400000.0,normal,12400000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Tyreke Evans,normal,12400000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Courtney Lee,normal,12253780.0,normal,12759670.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Kemba Walker,normal,12000000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Kentavious Caldwell-Pope,normal,12000000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
TJ Warren,normal,11750000.0,normal,10810000.0,normal,11750000.0,normal,12690000.0,normal,0.0,normal,0.0
Zach Randolph,normal,11692308.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Patrick Mills,normal,11571429.0,normal,12428571.0,normal,13285714.0,normal,0.0,normal,0.0,normal,0.0
Alec Burks,normal,11536515.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Omer Asik,normal,11286516.0,player_option,11977527.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Kelly Olynyk,normal,11137527.0,normal,11667885.0,player_option,12198243.0,normal,0.0,normal,0.0,normal,0.0
Jusuf Nurkic,normal,11111111.0,normal,12000000.0,normal,12888889.0,normal,0.0,normal,0.0,normal,0.0
Iman Shumpert,normal,11011234.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Moe Harkless,normal,10837079.0,normal,11511234.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Tony Snell,normal,10607143.0,normal,11392857.0,player_option,12178571.0,normal,0.0,normal,0.0,normal,0.0
Dante Exum,normal,10600000.0,normal,10600000.0,normal,10600000.0,normal,0.0,normal,0.0,normal,0.0
Meyers Leonard,normal,10595506.0,normal,11286515.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
John Henson,normal,10577466.0,normal,9732396.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Bojan Bogdanovic,normal,10500000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Mirza Teletovic,normal,10500000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Terrence Ross,normal,10500000.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0,normal,0.0
Robert Covington,normal,10464092.0,normal,11301219.0,normal,12138345.0,normal,12975471.0,normal,0.0,normal,0.0
